security,name,file,status,rows
IPG AT Equity,IPD Group Ltd/Australia,IPG-AT-Equity.csv,too_short,0
IPH AT Equity,IPH Ltd,IPH-AT-Equity.csv,downloaded,1546
IPX AT Equity,IperionX Ltd,IPX-AT-Equity.csv,downloaded,468
IRE AT Equity,IRESS Ltd,IRE-AT-Equity.csv,downloaded,5070
JBH AT Equity,JB Hi-Fi Ltd,JBH-AT-Equity.csv,downloaded,4349
JDO AT Equity,Judo Capital Holdings Ltd,JDO-AT-Equity.csv,too_short,0
JHX AT Equity,James Hardie Industries PLC,JHX-AT-Equity.csv,downloaded,5315
JIN AT Equity,Jumbo Interactive Ltd,JIN-AT-Equity.csv,downloaded,4623
JMS AT Equity,Jupiter Mines Ltd,JMS-AT-Equity.csv,downloaded,2796
KAR AT Equity,Karoon Energy Ltd,KAR-AT-Equity.csv,downloaded,4122
KCN AT Equity,Kingsgate Consolidated Ltd,KCN-AT-Equity.csv,downloaded,5088
KGN AT Equity,Kogan.com Ltd,KGN-AT-Equity.csv,downloaded,1134
KLS AT Equity,Kelsian Group Ltd,KLS-AT-Equity.csv,downloaded,1783
KPG AT Equity,Kelly Partners Group Holdings,KPG-AT-Equity.csv,downloaded,699
KSC AT Equity,K&S Corp Ltd,KSC-AT-Equity.csv,downloaded,4297
KSL AT Equity,Kina Securities Ltd,KSL-AT-Equity.csv,downloaded,1323
L1G AT Equity,L1 Group Ltd,L1G-AT-Equity.csv,downloaded,3449
LAU AT Equity,Lindsay Australia Ltd,LAU-AT-Equity.csv,downloaded,3649
LED AT Equity,LDR Capital Property Fund,LED-AT-Equity.csv,downloaded,269
LFG AT Equity,Liberty Financial Group Ltd,LFG-AT-Equity.csv,too_short,11
LFS AT Equity,Latitude Group Holdings Ltd,LFS-AT-Equity.csv,too_short,0
LGI AT Equity,LGI Ltd/Australia,LGI-AT-Equity.csv,too_short,0
LIC AT Equity,Lifestyle Communities Ltd,LIC-AT-Equity.csv,downloaded,4169
LIN AT Equity,Lindian Resources Ltd,LIN-AT-Equity.csv,downloaded,3020
LKE AT Equity,Lake Resources NL,LKE-AT-Equity.csv,downloaded,1626
LLC AT Equity,Lendlease Corp Ltd,LLC-AT-Equity.csv,downloaded,5308
LNW AT Equity,Light & Wonder Inc,LNW-AT-Equity.csv,too_short,0
LOT AT Equity,Lotus Resources Ltd,LOT-AT-Equity.csv,downloaded,562
LOV AT Equity,Lovisa Holdings Ltd,LOV-AT-Equity.csv,downloaded,1528
LRV AT Equity,Larvotto Resources Ltd,LRV-AT-Equity.csv,too_short,0
LTR AT Equity,Liontown Ltd,LTR-AT-Equity.csv,downloaded,2555
LYC AT Equity,Lynas Rare Earths Ltd,LYC-AT-Equity.csv,downloaded,5139
LYL AT Equity,Lycopodium Ltd,LYL-AT-Equity.csv,downloaded,3598
MAD AT Equity,Mader Group Ltd,MAD-AT-Equity.csv,downloaded,295
MAF AT Equity,MA Financial Group Ltd,MAF-AT-Equity.csv,downloaded,940
MAH AT Equity,Macmahon Holdings Ltd,MAH-AT-Equity.csv,downloaded,5273
MAQ AT Equity,Macquarie Technology Group Ltd,MAQ-AT-Equity.csv,downloaded,4306
MAU AT Equity,Magnetic Resources NL,MAU-AT-Equity.csv,downloaded,2185
MC2 AT Equity,Marimaca Copper Corp,MC2-AT-Equity.csv,too_short,0
MEI AT Equity,Meteoric Resources NL,MEI-AT-Equity.csv,downloaded,2958
MEK AT Equity,Meeka Metals Ltd,MEK-AT-Equity.csv,downloaded,3591
MFG AT Equity,Magellan Financial Group Ltd,MFG-AT-Equity.csv,downloaded,3863
MGH AT Equity,Maas Group Holdings Ltd,MGH-AT-Equity.csv,too_short,18
MGR AT Equity,Mirvac Group,MGR-AT-Equity.csv,downloaded,5301
MGX AT Equity,MGX Resources Ltd,MGX-AT-Equity.csv,downloaded,4907
MI6 AT Equity,Minerals 260 Ltd,MI6-AT-Equity.csv,too_short,0
MIN AT Equity,Mineral Resources Ltd,MIN-AT-Equity.csv,downloaded,3642
MLX AT Equity,Metals X Ltd,MLX-AT-Equity.csv,downloaded,4104
MM8 AT Equity,Medallion Metals Ltd,MM8-AT-Equity.csv,too_short,0
MMI AT Equity,Metro Mining Ltd,MMI-AT-Equity.csv,downloaded,2555
MMS AT Equity,McMillan Shakespeare Ltd,MMS-AT-Equity.csv,downloaded,4044
MND AT Equity,Monadelphous Group Ltd,MND-AT-Equity.csv,downloaded,5190
MP1 AT Equity,Megaport Ltd,MP1-AT-Equity.csv,downloaded,1270
MPL AT Equity,Medibank Pvt Ltd,MPL-AT-Equity.csv,downloaded,1545
MPW AT Equity,Metal Powder Works Ltd,MPW-AT-Equity.csv,downloaded,1039
MQG AT Equity,Macquarie Group Ltd,MQG-AT-Equity.csv,downloaded,5306
MRT AT Equity,Maritana Minerals Ltd,MRT-AT-Equity.csv,downloaded,3501
MSB AT Equity,Mesoblast Ltd,MSB-AT-Equity.csv,downloaded,3987
MTM AT Equity,Metallium Ltd,MTM-AT-Equity.csv,too_short,0
MTS AT Equity,Metcash Ltd,MTS-AT-Equity.csv,downloaded,5301
MVF AT Equity,Monash IVF Group Ltd,MVF-AT-Equity.csv,downloaded,1652
MYG AT Equity,Mayfield Group Holdings Ltd,MYG-AT-Equity.csv,downloaded,2552
MYR AT Equity,Myer Holdings Ltd,MYR-AT-Equity.csv,downloaded,2824
MYS AT Equity,MyState Ltd,MYS-AT-Equity.csv,downloaded,2863
MYX AT Equity,Mayne Pharma Group Ltd,MYX-AT-Equity.csv,downloaded,3178
NAB AT Equity,National Australia Bank Ltd,NAB-AT-Equity.csv,downloaded,5307
NAN AT Equity,Nanosonics Ltd,NAN-AT-Equity.csv,downloaded,3395
NCK AT Equity,Nick Scali Ltd,NCK-AT-Equity.csv,downloaded,3368
NEC AT Equity,Nine Entertainment Co Holdings,NEC-AT-Equity.csv,downloaded,1789
NEM AT Equity,Newmont Corp,NEM-AT-Equity.csv,too_short,0
NEU AT Equity,Neuren Pharmaceuticals Ltd,NEU-AT-Equity.csv,downloaded,3844
NGI AT Equity,Navigator Global Investments L,NGI-AT-Equity.csv,downloaded,3572
NHC AT Equity,New Hope Corp Ltd,NHC-AT-Equity.csv,downloaded,4376
NHF AT Equity,nib holdings Ltd/Australia,NHF-AT-Equity.csv,downloaded,3331
NIC AT Equity,Nickel Industries Ltd,NIC-AT-Equity.csv,downloaded,596
NMG AT Equity,New Murchison Gold Ltd,NMG-AT-Equity.csv,downloaded,4619
NSR AT Equity,National Storage REIT,NSR-AT-Equity.csv,downloaded,1771
NST AT Equity,Northern Star Resources Ltd,NST-AT-Equity.csv,downloaded,3646
NTU AT Equity,Northern Minerals Ltd/Australi,NTU-AT-Equity.csv,downloaded,3339
NUF AT Equity,Nufarm Ltd,NUF-AT-Equity.csv,downloaded,5291
NVA AT Equity,Nova Minerals Ltd,NVA-AT-Equity.csv,downloaded,3363
NVX AT Equity,Novonix Ltd,NVX-AT-Equity.csv,downloaded,1095
NWH AT Equity,NRW Holdings Ltd,NWH-AT-Equity.csv,downloaded,3344
NWL AT Equity,Netwealth Group Ltd,NWL-AT-Equity.csv,downloaded,789
NWS AT Equity,News Corp,NWS-AT-Equity.csv,downloaded,1911
NXG AT Equity,NexGen Energy Ltd,NXG-AT-Equity.csv,too_short,0
NXL AT Equity,Nuix Ltd,NXL-AT-Equity.csv,too_short,18
NXT AT Equity,NEXTDC Ltd,NXT-AT-Equity.csv,downloaded,2534
OBL AT Equity,Omni Bridgeway Ltd,OBL-AT-Equity.csv,downloaded,4925
OBM AT Equity,Ora Banda Mining Ltd,OBM-AT-Equity.csv,downloaded,1721
